"I hope this blows over soon.",true,timid
"I've been so bummed out being stuck home alone. If anyone wants to play some video games, or even just chat, hmu PLEASE",true,sad
"This sucks. I hope you're all proud of yourselves.",true,grumpy
"Don't worry, guys. I bet this will all blow over soon.",true,happy
"If anyone needs anything from the outside world, let me know. Nothing about this quarantine has slowed me down.",true,fearless
"Does anyone know what's going on? There's a bunch of conflicting information online...",true,confused
"This sucks. I can't stand being stuck inside all day. Who cares if a few weak people die?",true,aggressive
"W̴̡̧̛̘̣̤̙̹̖̖͍̺͇̲͒̎̒̚͜e̵̝͖͎͖͈̐́̒̑͐̉̌̔͝ ̸̧̫͈̈́̏͋̒͌́̌̓̍̀̏̒͗͘͘ṡ̴̬̟̺͎͉̮̤̲͎͚̎͐̊̄̇̿̓̂̑̾̕̚͝h̴͇͇͈͔͔̘̻̱̻̤̊͋̚ở̵̡̫͈̟̖̣̟̙͚̭̞̟̅̀̋ú̸̲̙͔̲̬̟̜̼̮̈́̎̈̍̿̽̔̔́͐͊̓͝l̸̡͉̲͍͇̻̏͊͋̋̓̃́̈́̅̑́̈́̚̕͜d̴̡̙͕̜͕̥͎̳͍̟̮̳͇̣̠̈́̍́͆̏͘͘ ̶̢̡̧̠̰̣̩͌̍ą̴̢͕̖͇̠̆͋l̷̨͈̦̖̳͍̼̦̬̍̈́͂̐̈̅̉́͜l̴̡̧̛͕̲̠̞͍̫̱͇̹̩̳̬̀͐̍̄̏̉̿̌̆͒̕͘͝ ̸̜͓̖̫͊͑̈̍̃́͝s̷̭͔͚̫̖͆p̵̛͍̤̣͓̿́͗͂͑͐̀̅̑̚͠e̷̥̙͈̲̫͛͌͐͝ͅn̵̬̾́̈̌̆̒͊͘͜͝d̴̢̧̰̬̺͎̹͓̪̤͔̅̏̀͌͆̽͊̊͌̇͆͊̚͜͝ͅͅ ̷̢͙͓͖̻͇̳͎̫̠̗̹̇̀m̷̗͐̈́̇͜o̷̥̹̎̽̽͑͑̓̃̑̈́̈́̂̇͝r̷̡̨̹̥̥̣͓̘̼̣̲̺͌̑̑̉̓͐͐͂̓̀̎̈́́̌͘͜e̵̢̛̙̘̺ͅ ̷̱̣͍̠̳͎̰͎̑̈͊̾̅̉̀͝͝͝ͅţ̵̹́̂̀́̈́̌̈͐̽̆̊̃̎͘͠ḯ̵̧̝̱̥̭͉̰͇̰̙͖̰̣̉̑̈̋͆̽͛͋́͆̎́̕̕m̴̺͎̊͛̀́̏̇̎̃̎e̸͕͙̭̼̞̎̈́ ̷̧̨̡̨̰̝̖̱̺̭̲̟̺̤͓͑̚ó̵̡̹̤͍̠̩͖̬̋̽̑͜ͅn̴̨͚̯̟͔̺̤͔̗̠͂̉̀͜͝ ̴̣̮̰̻̞͙͓̱̂͌̆̾͐̃t̷̛͖͓̣̱͈̥͎̺͛͐̎̔̈͑̀̔̕͝͝ḩ̸̢̮̻̼̬̤̣̳͔̻̗͇̱͐̅͋̾͐ị̶̡̤̟̉̾̌͛͌͋̽͌͒̿̀̀̏̈́̒s̸͇̖̳͇̠̘͉̘͋̽̈̓̀͐̂̽̽̒̽͝͝ ̷̨̧̰͎̌̋͋͊͆̏͊̑̊̅͝ä̴̡̯͓͓ͅṕ̵̨͖̯͓͙̣͓̩̼̫͍͌͗̾́͑̕͝͝p̸̜̘̩̮̍͊͜.̸̩̘̘̿̓̋̀́́͝",true,infected
"I think so...I honestly don't know anymore.",false,timid
"For now...I can't take much more of this.",false,sad
"Do you actually care, or are you just doing this for charity? Go away.",false,grumpy
"Oh, absolutely! You have no idea how much all this at-home time is letting me get accomplished!",false,happy
"Of course I do. This virus can't touch me.",false,fearless
"I'm not sure...I feel weird, but maybe that's just anxiety.",false,confused
"Why are you even talking to me right now? Shut the hell up.",false,aggressive
"E̴͚͆̀v̷̹̝͕̲̐̈́̾è̵͖́́r̴̻̯̖̱̐ý̵̝̼̩͒͆͌͜t̴̛̥̖̞̥̄͛͝ḩ̵̙̜͐͜ị̴̛̱̀́͝n̵̪̯̹͚̏̾͛g̵̪̾̒͒ ̸̿͗͌͜ị̶͆̔͒̕s̴͙̏ ̵̰͕̐f̸̯̟̹̕i̶̛̩̳̜͙͂͝ņ̷̹̪̀̋̉͊e̶͇͇̳̱̅̆.̶̝̙͈̫̋͛̈́",false,infected
